,bank,1month,3month,6month,12month,24month
0,vietcombank,1.6,1.9,2.9,4.6,4.7
1,bidv.com.vn,1.7,2,3,4.7,4.7
2,www.agribank.com.vn,1.6,1.9,3,4.7,4.7
3,oceanbank.vn,2.6,3.1,3.8,4.8,5.1
4,ocb.com.vn,2.9,3.1,4.5,4.8,5.8
5,abbank.vn,2.65,2.8,3.9,3.7,3.9
6,kienlongbank,3,3,4.2,4.8,5.3
7,saigonbank.com.vn,2.3,2.5,3.8,5,5.7
8,www.pgbank.com.vn,2.6,3,3.8,4.3,5.2
9,baca-bank.vn,2.8,3,4.2,4.6,5.1
10,ibanking.shb.com.vn,5,2.8,3.1,4.4,5.2
11,lpbank.com.vn,1.8,2.1,3.2,5,5.3
12,vietinbank.vn,1.7,2,3,4.7,4.8
13,cbbank.vn,3,3.2,3.9,4.05,4.3
14,mbbank.com.vn,2.1,2.5,3.5,4.5,5.6
15,acb.com.vn,2.1,2.5,3.3,4.3,4.4
16,vib.com.vn,2.5,2.8,4,4,5
17,msb.com.vn,,3.25,3.6,4,4
18,seabank.com.vn,2.7,2.9,3.4,4.05,5.2
19,publicbank.com.vn,3,3,4.2,5.1,5.3
20,hlbank.com.vn,2.3,2.7,3.4,3.6,2.5
